K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,KeyA,KeyB,KeyE
3,4,2,24,11,100,54,7a2dd4fe251759b5fe150c1fcf64dfe14b1c6514a4f5f9bb158035eddb440177,7a2dd4fe251759b5fe150c1fcf64dfe14b1c6514a4f5f9bb158035eddb440177,a07c928cd3d63f9a101a00ab6fdb40a9bc50566edd635ea5e6136639480abe7b
3,4,2,55,31,100,64,cd8ecd4d5f25379b88d1b0ef44e329517045ba1dbd8db042dfd1c75142a0a5d6,cd8ecd4d5f25379b88d1b0ef44e329517045ba1dbd8db042dfd1c75142a0a5d6,3f49b25b6471a2e70d11e25e9c3d6c556b0cc78502898b9448f6b283b1f383cf
3,4,2,32,26,100,91,4276bb2d4fde6912ab082b4f781baabd40b1df1e244123546410e61225025645,4276bb2d4fde6912ab082b4f781baabd40b1df1e244123546410e61225025645,f72bce6fd914865ea8c7bb9b23656ff26ff543fb76ca39d5928c17e2d92e4a10
3,4,2,48,23,100,68,f117425507df213fa0e6c135323954772f3cf0c11f3c3467eee5539631f92067,f117425507df213fa0e6c135323954772f3cf0c11f3c3467eee5539631f92067,4497629872b32b6a3d6635537b01f2a3e74aa452a089a4a0dc9c805b86450790
3,4,2,24,10,100,72,34ddc4642198582adeee9c2277eae1afd3f59955d516d852ff18c57fd0684513,34ddc4642198582adeee9c2277eae1afd3f59955d516d852ff18c57fd0684513,732876d64d0f244fd8b9add690a33a8aaa5a05377f4a9c0ef67c18ed3ed05229
3,4,2,32,14,100,77,6ab99574da3d2125a867283af8a87ab3619d2c8dcf183acec2b5dc9a773e470f,6ab99574da3d2125a867283af8a87ab3619d2c8dcf183acec2b5dc9a773e470f,474567feea0771d7e75344abbf903c7f8c5cdc17c6d44f980a62858da7c3cdc4
3,4,2,50,31,100,91,4bbdd5641727f06ea3ccd654cb9039a9e6b907c0466df2484de46b803acc45e3,4bbdd5641727f06ea3ccd654cb9039a9e6b907c0466df2484de46b803acc45e3,b642ab3cff5b6a338215ade6ad925f835d382f552b749523962809bf991eb877
3,4,2,31,15,100,85,4e035e37c946cb9647aee7bb3b67b7c3478770d5e31def743fd9d9021720cc5a,4e035e37c946cb9647aee7bb3b67b7c3478770d5e31def743fd9d9021720cc5a,9251544ea29e24402c7bf2e0fa27fdea8452b73d36b8732413b262ebbb809dd6
3,4,3,70,35,100,70,d2c66852400225d02336f49e9af37aa227f59c6f8efe05c30292db71a6a1572a,d2c66852400225d02336f49e9af37aa227f59c6f8efe05c30292db71a6a1572a,0e38502d8235ece2af3faf851ca6b0a4179cb6103a5ff31d10e5fd6671fa02fd
3,4,3,74,38,100,63,8270ec344f180c47b33b6d45997aa136864cddae46e5cd4a160ee1b06203ded4,8270ec344f180c47b33b6d45997aa136864cddae46e5cd4a160ee1b06203ded4,c71af8ec047ddfc976d6199ef6a956093fb82926097fc168d4c2b2e0737b3acd
3,4,3,57,24,100,80,d29d1328bed51c167d271017a02b1e029a6de99bb6d16bea86d214c14156c7c0,d29d1328bed51c167d271017a02b1e029a6de99bb6d16bea86d214c14156c7c0,c9350b12fa08c41a4433d6c187a75bae203463d890ad83483504b9027787eca7
3,4,3,66,30,100,76,a855b55a60fe152f80538ba9a5e4d00647d0bd85496df846031cd0d9b8a733c7,a855b55a60fe152f80538ba9a5e4d00647d0bd85496df846031cd0d9b8a733c7,fc91907d0ab97a8a603bbde9db293da73db87c282bf28655a1498bc5dfb97308
3,4,3,166,94,100,97,d5bdd01f86fdbb8bf715ca54f372c380ae3629856f64d6dcd4f47fc644199a5f,d5bdd01f86fdbb8bf715ca54f372c380ae3629856f64d6dcd4f47fc644199a5f,2310b5a7612ebeca41c83ad8dd4f5a24beadbd1e0324247c6fae870835eef77a
3,4,3,147,81,100,69,11f381c0088685526a1ec5486f3239d30aa751c748455e1f2deb7b50b324961c,11f381c0088685526a1ec5486f3239d30aa751c748455e1f2deb7b50b324961c,97163c810441ceb45eda9b93d591eee2e402ae97031e35646beff64f7de3c255
3,4,3,60,35,100,65,a840f9fc3be376bb1e8921b435cdff28e5f7e5fb8acd5cc04b55f19ab4ba7324,a840f9fc3be376bb1e8921b435cdff28e5f7e5fb8acd5cc04b55f19ab4ba7324,fa186055d4538dc62c99dfa755abe51963199788a196b23eaee4c8d057751b77
3,4,3,197,113,100,75,ebbeeb1c302827f44d2ced9bac700e668ffba165131adb76176f27e7f709e34c,ebbeeb1c302827f44d2ced9bac700e668ffba165131adb76176f27e7f709e34c,281032e5e7fba3c0cb954c75c974cebd0f3359d53719c37e3bd75f2c11143c9c
3,4,3,77,49,100,93,a41ce3dcdf5f5dfbdccb853c35d4cafd5c70186158c8bd37f32535d2ee2d5e4e,a41ce3dcdf5f5dfbdccb853c35d4cafd5c70186158c8bd37f32535d2ee2d5e4e,b84f2c5c050171aed0b823abca7824b583dd2ef958d7e980d9f915af527c6db6
3,4,3,188,93,100,98,2f7a28fd4787df67a81c5be7d79a423e968b1e5cf2157efbffe343ee8ad924e1,2f7a28fd4787df67a81c5be7d79a423e968b1e5cf2157efbffe343ee8ad924e1,666488427e39753a650757432a0b425669ea81ad7f8dff1862194a2e4fd35f8a
3,4,4,495,233,100,72,c95567c4cbb9b6a090d051b159e7827b83b9eb0838037b7aee874b0e4b279b9f,c95567c4cbb9b6a090d051b159e7827b83b9eb0838037b7aee874b0e4b279b9f,426b4da078bbddc423b97959569d709b606bfbb25e3b9eee7440aec68ffc76a6
3,4,4,186,100,100,51,17ce0c7a2f9c59a06616cd9b385ca7e33043f7090c23e66e148f6957012d6d97,17ce0c7a2f9c59a06616cd9b385ca7e33043f7090c23e66e148f6957012d6d97,0eb9aa406d1ec9e1a45a78095e8320341bbb15b409a48b061d679c238f78ff8f
3,4,4,116,53,100,61,41fc877b4bac5c36c44a2adc1e67e241aa5e88b0bac4369ed7c65bc871fdae72,41fc877b4bac5c36c44a2adc1e67e241aa5e88b0bac4369ed7c65bc871fdae72,6030816b60e27cb3af8b0e446f1bdd2c33a1013d61a591cf6d4506c19bc347e8
3,4,4,145,87,100,65,b4dbb710251a551f7b1b62e67c46c39f4b7311da51f1282934b83a71cf542c7c,b4dbb710251a551f7b1b62e67c46c39f4b7311da51f1282934b83a71cf542c7c,06dc125ea665bf2c689e5a73c87a1c01f8943fbb9fa0b0b39bbd1cd1e0a9d989
3,4,4,194,118,100,92,2f1038dc31b8dbeb0f1618407454dc1d7766a5e550ef3483b0b5e0a760ff7e71,2f1038dc31b8dbeb0f1618407454dc1d7766a5e550ef3483b0b5e0a760ff7e71,ed098c58aeb715fc95624436f36ac77394a8460deb1becee462446931a7c34b3
3,4,4,254,122,100,71,4f58cea3b669f09995e430b39562eb1e46c9585975da3177ad4147c81b3fff0d,4f58cea3b669f09995e430b39562eb1e46c9585975da3177ad4147c81b3fff0d,db9ceea2b08e14879bb67826d1d1fa93c66ab3c620b042a3cf09b6ddadae0020
3,4,4,191,97,100,78,9cbd30cb93b8fc008b6ab12ce78e6dbc3645e37f3396b01dcab5e66e04be708f,9cbd30cb93b8fc008b6ab12ce78e6dbc3645e37f3396b01dcab5e66e04be708f,d94f9bf96c18e321a6d3d330f8605b89c729328fe0673eebc133f5952a5a8bfc
3,4,4,180,88,100,73,ae1c180765e3b79bbf8231cb49e7416cb263ddd8b2096b4ff5f9836c9ce29e74,ae1c180765e3b79bbf8231cb49e7416cb263ddd8b2096b4ff5f9836c9ce29e74,dc746d84599ff5e648d66a125914e76142812ca136091555206bbe4e7a6cb774
